family_size,province_name,province,monthly_mean,monthly_median,monthly_q1,monthly_q3,monthly_income_mean,monthly_income_median,monthly_income_q1,monthly_income_q3,col_index,income_index,col_index_custom,income_index_custom
1.0,Eastern Samar,26,11843.44,9323.08,7069.38,13528.0,17243.15,13288.33,9777.5,18393.25,0.00912629399376167,0.002584215881549631,0.2989535050941956,0.5015667258920617
1.0,Guimaras,79,14218.48,11946.67,9896.42,15912.42,18782.91,15122.0,12759.25,21183.92,0.020201269321285388,0.004873394207888333,0.5025070340000425,0.5027106847769939
1.0,Ifugao,27,13222.7,10825.92,8573.92,14272.83,27268.8,19063.75,14099.33,25485.62,0.015470240998139546,0.009794328000689424,0.5001048535939898,0.5051697967953405
1.0,Ilocos Norte,28,20887.43,17560.83,15226.83,22197.0,41595.6,31076.5,25618.75,38500.83,0.04390035472897889,0.02479120690459538,0.5145402484978737,0.5126641071646924
1.0,Ilocos Sur,29,18746.49,14775.0,10349.17,21250.42,31691.18,23757.5,16007.0,35828.08,0.032140514770496266,0.01565406872243994,0.5085691878326106,0.508098053796955
1.0,Iloilo,30,17454.31,12458.73,8495.7,20475.17,32182.96,20450.0,14279.17,34242.17,0.02236283109969276,0.0115249411725726,0.5036045673471076,0.5060346268924885
1.0,Isabela,31,14753.07,13004.67,9516.12,17526.79,25525.57,21115.0,15656.67,30427.08,0.024667410714003038,0.012355136129688785,0.5047747180237798,0.5064494957939156
1.0,Kalinga,32,18872.55,16516.83,12406.5,22228.17,34401.99,27468.33,20545.0,38770.0,0.03949331161555996,0.020286718876899278,0.5123025716351309,0.5104131033691098
1.0,La Union,33,15271.94,11274.83,8280.48,17734.67,29718.77,20670.0,14301.67,31642.67,0.01736522732385304,0.011799592135829083,0.5010670332112828,0.5061718767546147
1.0,Laguna,34,23696.82,20539.25,13564.52,26426.48,36680.64,29483.17,20299.58,45291.62,0.056473175945328684,0.022802072271479693,0.5209241005299907,0.511670087515503
1.0,Lanao del Norte,35,15735.71,12563.96,8752.46,16979.33,26828.52,19574.75,12850.33,27232.79,0.02280703909473593,0.010432267283526071,0.5038301140293552,0.5054885907932792
1.0,Lanao del Sur,36,13794.54,12074.58,10674.25,14879.5,27191.4,16983.5,15314.83,20977.83,0.02074121652879249,0.007197315881078978,0.5027811922831013,0.5038720057694851
1.0,Leyte,37,17273.82,13059.38,8583.21,20354.96,26604.59,17345.0,11938.83,31113.96,0.02489835834689111,0.007648617350248152,0.5048919817222096,0.504097532247479
1.0,Maguindanao,38,16998.26,15144.92,12825.38,19193.96,22158.43,17791.67,14442.5,24342.83,0.03370206016179505,0.008206246194601663,0.5093620627608346,0.504376193138006
1.0,Marinduque,40,16446.63,12329.0,9380.92,17452.5,25961.73,16802.33,12760.75,24488.33,0.02181520111587682,0.006971140812837269,0.5033265081331195,0.5037589805080241
1.0,Masbate,41,11846.61,9728.17,7333.67,13888.42,21412.68,16218.33,11469.0,22256.25,0.010836302705270168,0.0062420673467382375,0.3549689148976183,0.5033946445103799
1.0,Metropolitan Manila,39,33721.97,25945.68,19343.79,37456.11,59268.84,41211.67,30940.71,60776.42,0.07929536952739907,0.03744408964672358,0.5325120730597209,0.5189870648243576
1.0,Misamis Occidental,42,12749.57,9243.67,6690.33,13470.17,18780.98,12017.67,8850.08,21483.0,0.008791080110967998,0.0009979068225883497,0.28797277564520946,0.5007740081202009
1.0,Misamis Oriental,43,17254.56,13409.4,10154.08,20409.75,30053.5,22655.58,16267.5,34218.21,0.026375899755472422,0.014278416952296388,0.5056422036144482,0.5074106066693451
1.0,Mountain Province,44,13817.66,12018.75,9528.71,14889.54,26391.79,20993.42,15785.88,29521.25,0.020505541033560518,0.012203354020085497,0.502661528011792,0.5063736465292006
