family_size,region_name,income,col,housing,food,transport
3.0,Region IVB - MIMAROPA,31890.96,21049.92,29830.0,72056.73,8791.0
3.0,Region IX - Zamboanga Peninsula,29900.0,19652.25,25110.0,74026.5,7360.0
3.0,Region V- Bicol,30145.62,20311.67,30218.5,72251.75,7542.5
3.0,Region VI - Western Visayas,36886.0,24340.83,34025.0,83585.25,11052.0
3.0,Region VII - Central Visayas,39981.58,23562.0,38740.0,73552.0,10696.0
3.0,Region VIII - Eastern Visayas,31487.17,20840.73,28465.0,75843.12,7590.0
3.0,Region X - Northern Mindanao,33500.0,20373.67,30942.0,69014.75,9400.0
3.0,Region XI - Davao,31138.83,18853.5,27000.0,66338.0,8796.0
3.0,Region XII - SOCCSKSARGEN,30130.67,20151.28,25185.0,70656.0,9600.0
3.0,Region XIII - Caraga,29681.33,20395.33,25645.0,77313.5,8395.0
3.5,Bangsamoro Autonomous Region in Muslim Mindanao,26883.33,19915.5,21400.0,82184.0,6300.0
3.5,Cordillera Administrative Region,45165.0,26734.17,39050.0,90889.0,9890.0
3.5,National Capital Region,65900.83,42543.25,83910.0,119871.25,16236.0
3.5,Region I - Ilocos Region,49335.83,29740.67,41400.0,97716.0,12628.0
3.5,Region II - Cagayan Valley,42621.25,24699.58,40385.0,82325.0,11343.0
3.5,Region III - Central Luzon,52099.17,34660.83,60100.0,108085.0,14048.0
3.5,Region IVA - CALABARZON,51430.17,33081.25,54055.0,102009.5,13126.5
3.5,Region IVB - MIMAROPA,33850.83,22189.92,30300.0,78111.0,8460.0
3.5,Region IX - Zamboanga Peninsula,32081.75,21235.62,25980.0,77703.38,8231.5
3.5,Region V- Bicol,31564.27,20438.33,29590.0,74815.0,7020.0
3.5,Region VI - Western Visayas,43870.0,27730.33,40200.0,89733.5,12460.0
3.5,Region VII - Central Visayas,49039.17,28240.5,44952.0,88071.0,12210.0
3.5,Region VIII - Eastern Visayas,34113.33,22262.08,31741.0,81404.04,7906.5
3.5,Region X - Northern Mindanao,35703.0,21912.38,32504.0,74521.5,9540.0
3.5,Region XI - Davao,32094.0,19549.83,25380.0,70143.0,8160.0
3.5,Region XII - SOCCSKSARGEN,31811.67,21688.17,26520.0,76736.0,10298.0
3.5,Region XIII - Caraga,32839.33,22778.5,29600.0,83205.0,9600.0
4.0,Bangsamoro Autonomous Region in Muslim Mindanao,27516.67,19295.0,20160.0,81849.0,6760.0
4.0,Cordillera Administrative Region,46116.25,28418.67,41137.0,96691.5,10045.0
4.0,National Capital Region,66631.5,44854.67,84630.0,129001.5,17070.0
4.0,Region I - Ilocos Region,51401.25,30300.61,41100.0,105538.0,13258.0
4.0,Region II - Cagayan Valley,40251.67,24812.95,38000.0,84608.0,10760.0
4.0,Region III - Central Luzon,50584.67,34376.0,56520.0,111179.0,14080.0
4.0,Region IVA - CALABARZON,51766.67,35220.33,54780.0,111873.0,15380.0
4.0,Region IVB - MIMAROPA,33579.17,22028.5,29374.0,80885.0,10190.0
