family_size,province_name,income,col,housing,food,transport
1.0,Zambales,27225.83,19373.5,42240.0,53156.75,5590.0
1.0,Zamboanga Sibugay,13429.17,8598.25,11597.0,28837.0,1375.0
1.0,Zamboanga del Norte,14417.33,9870.17,13970.0,41310.0,2040.0
1.0,Zamboanga del Sur,16783.83,10181.75,17250.0,33316.0,3630.0
1.5,Abra,23953.33,17414.5,23180.0,62186.75,4630.0
1.5,Agusan del Norte,22786.0,15944.65,25875.0,54937.62,7107.5
1.5,Agusan del Sur,16328.33,12032.88,13995.0,49237.05,3182.0
1.5,Aklan,27246.0,16020.5,24990.0,52371.0,6800.0
1.5,Albay,23668.17,15901.08,29978.0,47068.0,3120.0
1.5,Antique,22515.42,13681.62,18935.0,47554.0,4431.0
1.5,Apayao,16365.15,12480.92,22208.0,38557.5,2100.0
1.5,Aurora,20381.58,14726.5,22330.0,50250.25,7035.0
1.5,Basilan,19527.5,13087.33,18840.0,51764.5,4510.0
1.5,Bataan,29128.33,21158.33,41105.0,65673.65,8959.5
1.5,Batanes,34630.25,21408.83,51360.0,50440.03,5415.0
1.5,Batangas,50508.0,25433.56,51940.0,57567.0,9865.0
1.5,Benguet,40690.0,24767.83,62440.0,62248.2,6180.0
1.5,Biliran,23202.92,13775.25,24517.0,46859.0,1805.0
1.5,Bohol,26889.33,14773.25,41157.0,39662.5,3280.0
1.5,Bukidnon,23946.67,11606.67,22390.0,33569.0,4920.0
1.5,Bulacan,39001.67,27441.08,48540.0,82702.0,13450.0
1.5,Cagayan,21115.33,13988.66,33110.0,41306.25,2030.0
1.5,Camarines Norte,24773.75,18165.5,45545.0,56590.45,5297.5
1.5,Camarines Sur,30330.83,16687.0,32761.0,45968.38,6260.0
1.5,Camiguin,18293.75,13849.5,23697.5,46575.5,2210.0
1.5,Capiz,25083.08,18244.17,23480.0,57425.75,4753.0
1.5,Catanduanes,23096.0,15116.17,30560.0,47892.0,3696.0
1.5,Cavite,48043.75,27353.56,51394.5,74564.5,8960.0
1.5,Cebu,35833.33,20006.49,31994.0,62775.0,7644.0
1.5,Compostela Valley,23273.5,12714.33,17610.0,44526.0,2930.0
1.5,Davao Oriental,15095.42,9172.25,15900.0,33291.25,2040.0
1.5,Davao del Norte,34017.67,24115.17,47295.0,64086.0,9000.0
1.5,Davao del Sur,21982.5,12683.08,20930.0,39228.0,3120.0
1.5,Dinagat Islands,17959.17,9114.67,13550.0,38168.0,1250.0
1.5,Eastern Samar,16287.5,11273.17,15925.0,42358.5,2130.0
1.5,Guimaras,23588.33,17372.17,21180.0,65411.0,10240.0
1.5,Ifugao,25278.92,13363.62,21723.0,46841.5,4360.0
1.5,Ilocos Norte,40041.17,20952.5,29040.0,79692.0,8680.0
1.5,Ilocos Sur,36526.25,18758.25,43800.0,48273.88,9958.0
1.5,Iloilo,27044.5,16137.17,32560.0,47963.0,4080.0
1.5,Isabela,24549.17,15776.62,33590.0,43643.5,4810.0
1.5,Kalinga,28795.83,20473.58,29874.0,75964.7,6290.0
1.5,La Union,30955.0,19241.33,31540.0,62275.5,4200.0
1.5,Laguna,43953.33,27900.0,68720.0,54053.0,4080.0
1.5,Lanao del Norte,22902.5,15427.75,26630.0,53809.5,4495.0
1.5,Lanao del Sur,26025.0,19136.83,36250.0,52238.25,3000.0
1.5,Leyte,25311.75,16435.08,28630.0,52904.0,4406.0
1.5,Maguindanao,23233.33,19010.5,24400.0,71578.0,9220.0
1.5,Marinduque,25210.0,16889.62,22118.0,56458.0,4015.0
1.5,Masbate,21758.33,14566.92,15470.0,54500.0,4000.0
1.5,Metropolitan Manila,49073.33,30714.25,71610.0,77526.41,10569.0
1.5,Misamis Occidental,21489.71,14522.75,22070.0,47810.25,7667.5
1.5,Misamis Oriental,33140.0,18335.42,32170.0,51647.5,6112.0
1.5,Mountain Province,29570.83,17024.25,25540.0,58323.0,3880.0
1.5,Negros Occidental,26666.67,18009.17,28970.0,62408.0,4940.0
1.5,North Cotabato,25525.08,10777.33,15937.0,45031.5,6220.0
1.5,Northern Samar,32255.17,15850.08,36888.0,53039.5,4420.0
1.5,Nueva Ecija,32622.5,18768.5,39620.0,57170.0,6250.0
